iter,Prob,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,Fobj
16,Q01CB,0.11315961873588681,0.004408566947437735,0.951135710287851,0.5608856610827564,0.9979721468480585,0.014577014962130916,0.1843483728383139,0.08994715353502569,0.22439763246590294,0.06859087396028976,0.5396552956687374,0.518292637736004,0.4088227976316292,0.819364067871819,0.6515495700386248,0.930390457259784,0.8911760032582466,0.6402526769120402,0.19094746002996543,6.810138315114988
17,Q01D,0.005061936597008791,0.13495281142370064,0.9989849260804852,0.9038106336660842,0.8913017211668661,5.598152709180491e-06,0.0008817125013291,0.40571538038882193,0.8213492680802568,0.5501746235555279,0.7724330900926701,0.07598416634797148,0.07466155853713552,0.47996581125561544,0.09268806909906718,0.9268025334566254,0.9928304548863075,0.2718379275272559,0.8327645474791169,0.0169991080726923
18,Q01E,0.054713698441992295,0.07593257251989594,0.3336138577262968,0.19155314321756073,0.3439480971123441,2.5884958575026736e-05,0.5893049205545524,0.2369130015424917,0.3971612165179528,0.00878338792357714,0.33069842598724236,0.8832359628032765,0.2957726908797326,0.053312712639800364,0.638216136942156,0.09171977258075555,0.004108958341366797,0.15126982359684066,0.32225052066816656,0.05259671249299395
19,Q01A,0.0035383696883874356,0.013627369903692559,0.9844870743803795,0.16154226639448913,0.3020119814174659,0.0001232804588518677,0.005416780389473439,0.6448464353395608,0.452976907522025,0.008644697945136386,0.06735737673362646,0.9058899972688609,0.8934950490405694,0.06763231688805943,0.044046727591799756,0.4976852998909809,0.6724275896509394,0.9382655623668626,0.7396584106429538,0.001208619985491628
20,Q01B,0.01583220963565527,0.0027093056773148314,0.916351597888907,0.255988251931618,0.3522565253553937,0.014720864855742031,0.2702767473267033,0.6422247940275759,0.024258072089862137,0.04170914774543167,0.07902025625746119,0.41288459287691415,0.3536806266022485,0.9970957588896714,0.8303290276018671,0.8464662356338548,0.2331345020923784,0.8001756156636486,0.30894919090081047,6.128732438314718
21,Q01CA,0.15128616321593313,0.0886670262804913,0.12204269370594614,0.0624857813165649,0.14004512738404873,0.0023104661238694747,0.0025513740745952878,0.4061552679985602,0.507133366642726,0.0022235809701572438,0.013394824880927879,0.8984465968849703,0.9413035706428805,0.07869651220007931,0.4819260281789508,0.011644169092604385,0.8930504078019732,0.9963472115956431,0.46485335482534895,0.041220881818638255
22,Q01CB,0.13819962403372468,0.003869254067226824,0.8378877637664354,0.22729427872092647,0.6876212920681956,0.041532938567870166,0.14610406391169767,0.17318884908630533,0.4642184682776596,0.086037850936517,0.08710811794621504,0.4468544734770768,0.8124043740375627,0.8992647903366789,0.7943557409691342,0.9372234445555631,0.9166436379157816,0.6666255746206322,0.14530421186847986,6.756773711775733
23,Q01D,0.005058568487019849,0.26279984625750075,0.9977482865209497,0.3474837675708357,0.3984424020023472,6.585809913839286e-06,0.0005390666248148759,0.12559897184715346,0.19009191505775314,0.9433349503622791,0.32104555836780574,0.0433890412495844,0.9443605642147279,0.4405538813940375,0.6235596267871535,0.9357254437146791,0.9836432216582645,0.6842667496772376,0.38732209958549757,0.016997645966641644
24,Q01E,0.0878460827874367,0.21512779518629002,0.9422300307998839,0.06324711131397279,0.7118915422750931,8.009549779306764e-06,0.6090594605218409,0.32861699462126487,0.6753997987353418,0.002310968579567133,0.2820203310722879,0.833059799214304,0.653312320186023,0.5740724130778723,0.3255816483238853,0.05438497314961209,0.03567577196893678,0.43627747849964404,0.0076673009317523855,0.05253333252620684
25,Q01A,0.0035090600959156557,0.012612551421443593,0.9776971314183671,0.18735620692282118,0.47750059206232653,2.350145135780582e-06,0.0021477943530906693,0.9915399083333476,0.8930808726757404,0.022167802164157004,0.1156380361385118,0.9234934279851512,0.5509620110100626,0.8525020419902153,0.4776688549339136,0.2977230688786817,0.890327319448271,0.8584683974889875,0.6724433384895285,0.0012478106936288783
26,Q01B,0.03140294053359781,0.002398578947392366,0.9939392921956404,0.27283432399277463,0.5228807103536474,0.016167300245064353,0.07419899953292755,0.33430766000087664,0.39621845062444433,0.05083739169341594,0.06219372883439098,0.24039237862339666,0.5093945508926145,0.9995104705525181,0.8787777264852084,0.8406067510945034,0.34329762447255735,0.4371931659915175,0.8200320485383166,6.171543232890533
27,Q01CA,0.13390780225075322,0.07471165785906217,0.0887565667393701,0.00834085492898182,0.0006938822121566879,0.00025631922698614263,0.010568041421423648,0.02533897752860398,0.13280371070080502,0.008816975019932397,0.04728199687663747,0.973609072532489,0.9531956447386607,0.5010931678735286,0.933857864569543,0.012636248620621583,0.940972411402726,0.9969509718889359,0.8227925249576439,0.041280028236254006
28,Q01CB,0.11850746157596506,0.004531584083465526,0.9763951714366498,0.06202279184816656,0.4519001996385602,0.02211981774069197,0.17348831805181764,0.5272646448135382,0.6482504009463738,0.0035815277144218283,0.3987797646715905,0.3251933647147753,0.5282002968134726,0.9083213068464902,0.5034313189934663,0.9774120307120324,0.8573707468174664,0.6195582906649622,0.2108549459900324,6.832475980595189
29,Q01D,0.005058583908228029,0.14854040468275306,0.9995404984363685,0.5875044813352199,0.4139561935293421,7.498378331087284e-06,0.0013799967378319033,0.5796794727478154,0.07694994193001514,0.5948345682203807,0.49130945929522973,0.0427068994966914,0.719178137079727,0.521309494680665,0.9775730254059899,0.9093066322769737,0.9908028255904916,0.7380907888667436,0.8195806986200754,0.016998708148310195
30,Q01E,0.08863910717310042,0.23475958316594137,0.9301486847644711,0.017350905777837787,0.7815632218605666,1.600459326011021e-06,0.595411881639418,0.20492115406397549,0.3676383394397902,0.0007583861397338714,0.8749300920630134,0.9134662830073091,0.2584648898667522,0.01000739432417816,0.7529529806554803,0.05656144994879568,0.002512840277056073,0.49586621804312375,0.010341116477023404,0.05243201550317588
31,Q01A,0.002828264228627619,0.015700263600605474,0.9777237712547222,0.2166302593121628,0.2524726911584786,1.8428591600528017e-05,0.0781909531109907,0.9008726595476416,0.07207635742519583,0.052943123195901345,0.024178012787512318,0.9645518911212047,0.038305905765308484,0.5241092866522393,0.698713830934193,0.5641126197510504,0.0724222508990931,0.9158668828272336,0.5430178508807469,0.0012289531738457064
32,Q01B,0.022834577066956283,0.0033283759435590813,0.9681810951822885,0.21393977683672563,0.5131943658504348,0.011148216734415017,0.09380497059076157,0.19933257365098633,0.3250022482215105,0.053366237804304294,0.6365734853022282,0.3824739869006436,0.6957998483686587,0.8264891011159904,0.46954639909696827,0.9346771665011229,0.1519725161975477,0.857281693678746,0.41434481597617706,6.158281461735671
33,Q01CA,0.14242429041887442,0.08677939361580783,0.15903299275501076,0.025441437571398166,0.17487372135421525,0.0005485748266454646,0.10069138865984471,0.8874786572764438,0.16022911862454112,0.00027291261229797365,0.032464397648049495,0.8943749306242332,0.9011111814717296,0.07665396290187115,0.2059329080698702,0.001335155382258528,0.9966830309831807,0.7979244040315256,0.4724333508920402,0.03948213501206665
34,Q01CB,0.24331631465617354,0.0042447422135609425,0.7408337437087315,0.6475395722119122,0.8639425493875328,0.045252298325816315,0.3980897668584865,0.024090511993279884,0.4409539265185622,0.09440332110825704,0.2931770925820013,0.354246249546663,0.8649410366225794,0.8943739553928167,0.991837941808781,0.962702854356283,0.720196446768719,0.2670213530943258,0.5021372651229989,6.716695897067383
35,Q01D,0.0050586857189574026,0.22686484605760898,0.9988091791047877,0.46819777080368424,0.6880370601971973,1.4512604050198742e-07,0.0007540974634665449,0.011850343557086418,0.9940677266170703,0.814718105413011,0.44078293946178193,0.024481151274490437,0.418050953022771,0.3255865488382649,0.9779852194152852,0.9278779634281616,0.9937941743959147,0.9915084475984433,0.30933224155064365,0.016996742114646468
36,Q01E,0.07522688552473314,0.14146022457947233,0.6190204412620287,0.012918845328332387,0.19475928488465655,2.909449229895042e-06,0.569853708149087,0.4210310583821613,0.5316615114473541,0.0018758802909520861,0.48488033900952954,0.8434635478292627,0.20941127062108078,0.3837076481919657,0.8341701559315733,0.06751821369692805,0.00375360119729513,0.3573428157411305,0.08017965573684382,0.0525958368632318
