,t,y,u,e,s
1421,14.209999999999742,1.5429146554137463,0.27846928300000934,1.2213652711423606e-07,1.54291479
1422,14.219999999999741,1.5429146429979295,0.27846833280970607,1.34586253697222e-07,1.54291479
1423,14.229999999999741,1.54291463061593,0.27846738520746744,1.470020705163222e-07,1.54291479
1424,14.23999999999974,1.5429146182676559,0.27846644018624356,1.593840699420923e-07,1.54291479
1425,14.24999999999974,1.5429146059530152,0.2784654977390015,1.717323441230434e-07,1.54291479
1426,14.25999999999974,1.5429145936719169,0.27846455785874213,1.8404698476359727e-07,1.54291479
1427,14.26999999999974,1.5429145814242695,0.2784636205385004,1.9632808312408656e-07,1.54291479
1428,14.27999999999974,1.542914569209982,0.278462685771311,2.085757304648439e-07,1.54291479
1429,14.28999999999974,1.5429145570289642,0.27846175355020886,2.207900180462019e-07,1.54291479
1430,14.29999999999974,1.5429145448811243,0.2784608238683305,2.3297103579622558e-07,1.54291479
1431,14.30999999999974,1.5429145327663736,0.27845989671865984,2.4511887564138135e-07,1.54291479
1432,14.31999999999974,1.5429145206846209,0.2784589720944182,2.572336263995112e-07,1.54291479
1433,14.329999999999739,1.5429145086357774,0.27845804998865736,2.6931537910890313e-07,1.54291479
1434,14.339999999999739,1.542914496619753,0.2784571303945985,2.8136422258739913e-07,1.54291479
1435,14.349999999999739,1.5429144846364584,0.27845621330536124,2.933802469851088e-07,1.54291479
1436,14.359999999999738,1.5429144726858048,0.2784552987141329,3.053635415639633e-07,1.54291479
1437,14.369999999999738,1.5429144607677037,0.27845438661413474,3.173141951418046e-07,1.54291479
1438,14.379999999999738,1.5429144488820654,0.27845347699860495,3.2923229631443007e-07,1.54291479
1439,14.389999999999738,1.542914437028803,0.2784525698607139,3.411179345658155e-07,1.54291479
1440,14.399999999999737,1.5429144252078275,0.27845166519381853,3.5297119693744605e-07,1.54291479
1441,14.409999999999737,1.542914413419052,0.27845076299112304,3.6479217246920825e-07,1.54291479
1442,14.419999999999737,1.5429144016623877,0.2784498632460012,3.7658094798054265e-07,1.54291479
1443,14.429999999999737,1.5429143899377484,0.2784489659516743,3.883376122892912e-07,1.54291479
1444,14.439999999999737,1.5429143782450456,0.2784480711015669,4.0006225154876063e-07,1.54291479
1445,14.449999999999736,1.5429143665841942,0.2784471786889172,4.117549543547483e-07,1.54291479
1446,14.459999999999736,1.542914354955106,0.27844628870723465,4.234158057503379e-07,1.54291479
1447,14.469999999999736,1.542914343357696,0.2784454011497912,4.3504489388723755e-07,1.54291479
1448,14.479999999999736,1.5429143317918765,0.27844451601007936,4.466423040305756e-07,1.54291479
1449,14.489999999999736,1.5429143202575628,0.2784436332814389,4.5820812344388173e-07,1.54291479
1450,14.499999999999735,1.5429143087546682,0.2784427529573792,4.6974243717023967e-07,1.54291479
1451,14.509999999999735,1.5429142972831082,0.278441875031291,4.812453318070453e-07,1.54291479
1452,14.519999999999735,1.542914285842797,0.27844099949673445,4.927168917312486e-07,1.54291479
1453,14.529999999999735,1.5429142744336497,0.27844012634715115,5.041572028741115e-07,1.54291479
1454,14.539999999999734,1.5429142630555817,0.2784392555760504,5.155663502787178e-07,1.54291479
1455,14.549999999999734,1.5429142517085082,0.27843838717699243,5.269444183220173e-07,1.54291479
1456,14.559999999999734,1.5429142403923444,0.2784375211435035,5.382914918250492e-07,1.54291479
1457,14.569999999999734,1.5429142291070075,0.2784366574691099,5.496076556088525e-07,1.54291479
1458,14.579999999999734,1.5429142178524125,0.2784357961474904,5.608929924960648e-07,1.54291479
1459,14.589999999999733,1.542914206628476,0.27843493717215445,5.721475875297699e-07,1.54291479
1460,14.599999999999733,1.5429141954351153,0.2784340805367469,5.833715239766946e-07,1.54291479
1461,14.609999999999733,1.5429141842722465,0.27843322623494654,5.945648846594764e-07,1.54291479
1462,14.619999999999733,1.5429141731397866,0.2784323742603475,6.057277535109762e-07,1.54291479
1463,14.629999999999733,1.542914162037653,0.27843152460662857,6.168602133538315e-07,1.54291479
1464,14.639999999999732,1.5429141509657633,0.27843067726746856,6.279623470106799e-07,1.54291479
1465,14.649999999999732,1.5429141399240356,0.2784298322365971,6.390342366380253e-07,1.54291479
1466,14.659999999999732,1.542914128912387,0.2784289895077439,6.500759643923715e-07,1.54291479
1467,14.669999999999732,1.5429141179307366,0.27842814907460467,6.610876128743115e-07,1.54291479
1468,14.679999999999731,1.542914106979002,0.27842731093097683,6.720692633521708e-07,1.54291479
1469,14.689999999999731,1.542914096057102,0.2784264750705901,6.830209979824531e-07,1.54291479
1470,14.699999999999731,1.5429140851649554,0.27842564148724186,6.939428980334839e-07,1.54291479
1471,14.70999999999973,1.5429140743024818,0.2784248101747465,7.048350445515439e-07,1.54291479
1472,14.71999999999973,1.5429140634696,0.2784239811269523,7.156975181388248e-07,1.54291479
1473,14.72999999999973,1.5429140526662293,0.2784231543376568,7.265304000636519e-07,1.54291479
1474,14.73999999999973,1.5429140418922893,0.27842232980072507,7.373337707061722e-07,1.54291479
1475,14.74999999999973,1.5429140311477008,0.2784215075100055,7.481077106685774e-07,1.54291479
1476,14.75999999999973,1.5429140204323832,0.278420687459448,7.588522992207913e-07,1.54291479
1477,14.76999999999973,1.542914009746257,0.2784198696429178,7.69567616742961e-07,1.54291479
1478,14.77999999999973,1.5429139990892429,0.278419054054331,7.802537429490997e-07,1.54291479
1479,14.78999999999973,1.542913988461262,0.27841824068763754,7.909107571091312e-07,1.54291479
1480,14.799999999999729,1.5429139778622343,0.27841742953682125,8.015387380488903e-07,1.54291479
1481,14.809999999999729,1.542913967292082,0.27841662059578126,8.121377657044349e-07,1.54291479
1482,14.819999999999729,1.5429139567507257,0.2784158138585692,8.227079180134211e-07,1.54291479
1483,14.829999999999728,1.5429139462380883,0.27841500931913515,8.332492742457731e-07,1.54291479
1484,14.839999999999728,1.5429139357540902,0.2784142069715815,8.437619116730133e-07,1.54291479
1485,14.849999999999728,1.5429139252986546,0.2784134068098412,8.542459097871102e-07,1.54291479
1486,14.859999999999728,1.5429139148717033,0.27841260882805074,8.647013454154973e-07,1.54291479
1487,14.869999999999727,1.5429139044731586,0.27841181302024476,8.751282967178753e-07,1.54291479
1488,14.879999999999727,1.5429138941029432,0.27841101938049184,8.85526841409856e-07,1.54291479
1489,14.889999999999727,1.5429138837609806,0.27841022790289444,8.95897056762962e-07,1.54291479
1490,14.899999999999727,1.5429138734471934,0.27840943858160594,9.06239019382582e-07,1.54291479
1491,14.909999999999727,1.5429138631615054,0.2784086514107288,9.165528065402384e-07,1.54291479
1492,14.919999999999726,1.5429138529038395,0.27840786638443327,9.268384946192754e-07,1.54291479
1493,14.929999999999726,1.5429138426741198,0.2784070834968558,9.370961604471262e-07,1.54291479
1494,14.939999999999726,1.5429138324722707,0.2784063027421835,9.473258801850903e-07,1.54291479
1495,14.949999999999726,1.542913822298215,0.27840552411465447,9.575277293283335e-07,1.54291479
1496,14.959999999999726,1.542913812151879,0.2784047476083882,9.677017849263336e-07,1.54291479
1497,14.969999999999725,1.5429138020331856,0.2784039732177413,9.778481209199441e-07,1.54291479
1498,14.979999999999725,1.5429137919420601,0.2784032009368332,9.879668143586429e-07,1.54291479
1499,14.989999999999725,1.542913781878428,0.2784024307599698,9.980579398494172e-07,1.54291479
1500,14.999999999999725,1.5429137718422137,0.2784016626814569,1.0081215719992542e-06,1.54291479
1501,15.009999999999724,1.5429137618333433,0.27840089669553253,1.0181577863033198e-06,1.54291479
1502,15.019999999999724,1.5429137518517415,0.27840013279655346,1.0281666567024672e-06,1.54291479
1503,15.029999999999724,1.542913741897335,0.2783993709787746,1.0381482584698176e-06,1.54291479
1504,15.039999999999724,1.5429137319700497,0.27839861123660353,1.0481026648800906e-06,1.54291479
1505,15.049999999999724,1.5429137220698113,0.27839785356436303,1.0580299503182289e-06,1.54291479
1506,15.059999999999723,1.5429137121965464,0.2783970979564098,1.0679301887250858e-06,1.54291479
1507,15.069999999999723,1.5429137023501815,0.27839634440713446,1.0778034535974257e-06,1.54291479
1508,15.079999999999723,1.5429136925306435,0.27839559291092747,1.0876498184320127e-06,1.54291479
1509,15.089999999999723,1.5429136827378598,0.27839484346219645,1.0974693565035665e-06,1.54291479
1510,15.099999999999723,1.5429136729717567,0.27839409605541665,1.1072621401986282e-06,1.54291479
1511,15.109999999999722,1.5429136632322624,0.27839335068496174,1.1170282432360068e-06,1.54291479
1512,15.119999999999722,1.5429136535193038,0.27839260734534094,1.1267677375581542e-06,1.54291479
1513,15.129999999999722,1.5429136438328095,0.2783918660309787,1.1364806962177454e-06,1.54291479
1514,15.139999999999722,1.5429136341727068,0.27839112673643507,1.1461671904910986e-06,1.54291479
1515,15.149999999999721,1.5429136245389243,0.27839038945615147,1.1558272932088443e-06,1.54291479
1516,15.159999999999721,1.5429136149313896,0.2783896541846879,1.1654610756473005e-06,1.54291479
1517,15.169999999999721,1.5429136053500323,0.27838892091650286,1.1750686104150532e-06,1.54291479
1518,15.17999999999972,1.5429135957947808,0.278388189646241,1.1846499676781974e-06,1.54291479
1519,15.18999999999972,1.5429135862655634,0.27838746036842854,1.1942052191571406e-06,1.54291479
1520,15.19999999999972,1.5429135767623103,0.2783867330775916,1.2037344365722902e-06,1.54291479
1521,15.20999999999972,1.5429135672849503,0.2783860077684088,1.213237689645652e-06,1.54291479
1522,15.21999999999972,1.5429135578334126,0.2783852844354403,1.2227150496535444e-06,1.54291479
1523,15.22999999999972,1.5429135484076277,0.27838456307328,1.2321665874281962e-06,1.54291479
1524,15.23999999999972,1.5429135390075246,0.2783838436766405,1.2415923722475242e-06,1.54291479
1525,15.24999999999972,1.5429135296330343,0.27838312624008177,1.2509924753878465e-06,1.54291479
1526,15.25999999999972,1.5429135202840865,0.2783824107583503,1.2603669656829908e-06,1.54291479
1527,15.269999999999719,1.5429135109606118,0.2783816972260739,1.2697159135210967e-06,1.54291479
1528,15.279999999999719,1.5429135016625408,0.2783809856379652,1.279039388180081e-06,1.54291479
1529,15.289999999999718,1.5429134923898047,0.2783802759887198,1.288337459159905e-06,1.54291479
1530,15.299999999999718,1.5429134831423341,0.27837956827308413,1.2976101952943964e-06,1.54291479
1531,15.309999999999718,1.5429134739200607,0.2783788624857708,1.3068576658614717e-06,1.54291479
1532,15.319999999999718,1.5429134647229157,0.2783781586215602,1.3160799392508693e-06,1.54291479
1533,15.329999999999718,1.5429134555508304,0.2783774566751987,1.3252770842964168e-06,1.54291479
1534,15.339999999999717,1.5429134464037368,0.2783767566414498,1.334449169609897e-06,1.54291479
