,t,y,u,e,s
39,0.3900000000000002,1.5295007767115316,0.296230159771443,0.0005716002839200041,1.530163
40,0.4000000000000002,1.5294041935522418,0.2955222649215904,0.0006622232884683221,1.530163
41,0.4100000000000002,1.529301789019729,0.2947484617342958,0.0007588064477581646,1.530163
42,0.4200000000000002,1.5291937009619494,0.29390941096607925,0.0008612109802710322,1.530163
43,0.4300000000000002,1.5290800661935293,0.29300630222084045,0.0009692990380505417,1.530163
44,0.4400000000000002,1.5289610204015687,0.2920408631841645,0.0010829338064706207,1.530163
45,0.45000000000000023,1.5288366980569823,0.29101536696178804,0.0012019795984312687,1.530163
46,0.46000000000000024,1.5287072323313287,0.28993263761640314,0.0013263019430176382,1.530163
47,0.47000000000000025,1.528572755019059,0.28879605399673697,0.0014557676686712817,1.530163
48,0.48000000000000026,1.5284333964651124,0.28760955195222737,0.001590244980940847,1.530163
49,0.49000000000000027,1.528289285497759,0.286377625025706,0.0017296035348874916,1.530163
50,0.5000000000000002,1.52814054936659,0.28510532371524194,0.0018737145022409418,1.530163
51,0.5100000000000002,1.5279873136855426,0.2837982533948145,0.002022450633409889,1.530163
52,0.5200000000000002,1.52782972291147,0.2824625709817572,0.0021756863144573035,1.530163
53,0.5300000000000002,1.5276684299649135,0.28110505614820436,0.002333277088530039,1.530163
54,0.5400000000000003,1.527504139744175,0.27973488325078716,0.002494570035086463,1.530163
55,0.5500000000000003,1.5273376045782048,0.27836183521301694,0.0026588602558248464,1.530163
56,0.5600000000000003,1.5271696191457533,0.27699616495387336,0.0028253954217951627,1.530163
57,0.5700000000000003,1.5270010149215039,0.2756484404346475,0.002993380854246608,1.530163
58,0.5800000000000003,1.526832654206945,0.2743293762263024,0.003161985078496077,1.530163
59,0.5900000000000003,1.5266654238007418,0.2730496549523909,0.003330345793054912,1.530163
60,0.6000000000000003,1.5265002283603313,0.27181974234325207,0.0034975761992581678,1.530163
61,0.6100000000000003,1.5263379835034823,0.270649699933567,0.0036627716396686605,1.530163
62,0.6200000000000003,1.5261796086956447,0.26954899963724804,0.0038250164965176747,1.530163
63,0.6300000000000003,1.5260260199661269,0.2685263445330148,0.0039833913043552105,1.530163
64,0.6400000000000003,1.5258781224934819,0.2675895001851953,0.004136980033873083,1.530163
65,0.6500000000000004,1.525736803098033,0.26674514070393246,0.00428487750651807,1.530163
66,0.6600000000000004,1.525602922677188,0.26599871351642607,0.0044261969019669944,1.530163
67,0.6700000000000004,1.5254773086171407,0.2653543264776805,0.004560077322812051,1.530163
68,0.6800000000000004,1.5253607472127342,0.2648146604998539,0.004685691382859236,1.530163
69,0.6900000000000004,1.5252539761256412,0.2643809103304861,0.0048022527872657594,1.530163
70,0.7000000000000004,1.5251576769096589,0.26405275547079377,0.004909023874358764,1.530163
71,0.7100000000000004,1.5250724676307357,0.2638283625076872,0.005005323090341074,1.530163
72,0.7200000000000004,1.524998895608417,0.26370441935096794,0.005090532369264267,1.530163
73,0.7300000000000004,1.5249374303046244,0.2636762010367234,0.00516410439158288,1.530163
74,0.7400000000000004,1.5248884563851055,0.26373766589729836,0.005225569695375576,1.530163
75,0.7500000000000004,1.5248522669784452,0.2638815800277631,0.005274543614894434,1.530163
76,0.7600000000000005,1.5248290571572103,0.264099667120268,0.005310733021554714,1.530163
77,0.7700000000000005,1.5248189176655569,0.2643827799146096,0.005333942842789652,1.530163
78,0.7800000000000005,1.5248218277562224,0.2647210887502133,0.005344082334443057,1.530163
79,0.7900000000000005,1.5248376210893522,0.26509347073193595,0.005341172243777503,1.530163
80,0.8000000000000005,1.5248659800055584,0.26545220978514067,0.005325378910647771,1.530163
81,0.8100000000000005,1.5249064321828574,0.265787682623682,0.005297019994441543,1.530163
82,0.8200000000000005,1.5249583498877217,0.266090940556401,0.005256567817142566,1.530163
