,t,y,u,e,s
0,0.0,1.530163,0.3,0.0,1.530163
1,0.01,1.530163,0.3,0.0,1.530163
2,0.02,1.530163,0.3,0.0,1.530163
3,0.03,1.530163,0.3,0.0,1.530163
4,0.04,1.530163,0.3,0.0,1.530163
5,0.05,1.530163,0.3,0.0,1.530163
6,0.060000000000000005,1.530163,0.3,0.0,1.530163
7,0.07,1.530163,0.3,0.0,1.530163
8,0.08,1.530163,0.3,0.0,1.530163
9,0.09,1.530163,0.3,0.0,1.530163
10,0.09999999999999999,1.530163,0.3,0.0,1.530163
11,0.10999999999999999,1.530163,0.3,0.0,1.530163
12,0.11999999999999998,1.530163,0.3,0.0,1.530163
13,0.12999999999999998,1.530163,0.3,0.0,1.530163
14,0.13999999999999999,1.530163,0.3,0.0,1.530163
15,0.15,1.530163,0.3,0.0,1.530163
16,0.16,1.530163,0.3,0.0,1.530163
17,0.17,1.530163,0.3,0.0,1.530163
18,0.18000000000000002,1.530163,0.3,0.0,1.530163
19,0.19000000000000003,1.530163,0.3,0.0,1.530163
20,0.20000000000000004,1.530163,0.3,0.0,1.530163
21,0.21000000000000005,1.530163,0.3,0.0,1.530163
22,0.22000000000000006,1.530163,0.3,0.0,1.530163
23,0.23000000000000007,1.530163,0.3,0.0,1.530163
24,0.24000000000000007,1.530163,0.3,0.0,1.530163
25,0.25000000000000006,1.530163,0.3,0.0,1.530163
26,0.26000000000000006,1.5301626972254752,0.3,0.0,1.530163
27,0.2700000000000001,1.5301624020803253,0.2999995641803111,3.0277452478522093e-07,1.530163
28,0.2800000000000001,1.5301621143924842,0.299999136088841,5.979196746608295e-07,1.530163
29,0.2900000000000001,1.530161833993715,0.299998715559909,8.856075157659404e-07,1.530163
30,0.3000000000000001,1.5301615607195258,0.2999983024314969,1.1660062848584118e-06,1.530163
31,0.3100000000000001,1.5301612944090845,0.29999789654516795,1.4392804741358844e-06,1.530163
32,0.3200000000000001,1.5301610349051393,0.29999749774598616,1.7055909153906867e-06,1.530163
33,0.3300000000000001,1.5301607820539378,0.2999971058824395,1.9650948606120267e-06,1.530163
34,0.34000000000000014,1.5301605357051495,0.2999967208063631,2.217946062144094e-06,1.530163
35,0.35000000000000014,1.5301602957117901,0.2999963423728649,2.4642948504016715e-06,1.530163
36,0.36000000000000015,1.5301600619301472,0.2999959704402532,2.7042882098093912e-06,1.530163
37,0.37000000000000016,1.5301598342197065,0.29999560486996646,2.9380698527425864e-06,1.530163
38,0.38000000000000017,1.5301596124430819,0.2999952455265016,3.1657802934681456e-06,1.530163
39,0.3900000000000002,1.5301593964659448,0.29999489227734794,3.3875569180885634e-06,1.530163
40,0.4000000000000002,1.530159186156957,0.29999454499291933,3.6035340551521244e-06,1.530163
41,0.4100000000000002,1.5301589813877043,0.2999942035464899,3.813843042932419e-06,1.530163
42,0.4200000000000002,1.5301587820326308,0.29999386781413123,4.0186122955976344e-06,1.530163
43,0.4300000000000002,1.5301585879689756,0.29999353767464865,4.2179673691578046e-06,1.530163
44,0.4400000000000002,1.5301583990767116,0.2999932130095217,4.412031024303431e-06,1.530163
45,0.45000000000000023,1.5301582152384823,0.2999928937028448,4.600923288355929e-06,1.530163
46,0.46000000000000024,1.5301580363395455,0.29999257964126713,4.784761517662162e-06,1.530163
47,0.47000000000000025,1.5301578622677132,0.2999922707139392,4.963660454437857e-06,1.530163
48,0.48000000000000026,1.5301576929132956,0.2999919668124549,5.137732286719654e-06,1.530163
49,0.49000000000000027,1.5301575281690452,0.2999916678307982,5.307086704320341e-06,1.530163
50,0.5000000000000002,1.5301573679301026,0.29999137366528983,5.471830954784096e-06,1.530163
51,0.5100000000000002,1.5301572120939437,0.29999108421453535,5.632069897343328e-06,1.530163
52,0.5200000000000002,1.530157067259318,0.2999907993793746,5.78790605620938e-06,1.530163
53,0.5300000000000002,1.5301569330603522,0.29999052870550413,5.932740681835469e-06,1.530163
54,0.5400000000000003,1.5301568091418563,0.2999902717845085,6.066939647775271e-06,1.530163
55,0.5500000000000003,1.530156695159028,0.299990028219418,6.1908581436842525e-06,1.530163
56,0.5600000000000003,1.5301565907771693,0.2999897976243966,6.3048409719712595e-06,1.530163
57,0.5700000000000003,1.530156495671407,0.29998957962444645,6.409222830683348e-06,1.530163
58,0.5800000000000003,1.5301564095264217,0.29998937385511437,6.5043285928378936e-06,1.530163
59,0.5900000000000003,1.530156332036183,0.2999891799622065,6.5904735782051915e-06,1.530163
60,0.6000000000000003,1.5301562629036949,0.29998899760151143,6.6679638168754e-06,1.530163
61,0.6100000000000003,1.530156201840743,0.2999888264385321,6.7370963050539245e-06,1.530163
62,0.6200000000000003,1.5301561485676543,0.2999886661482203,6.7981592568600036e-06,1.530163
63,0.6300000000000003,1.530156102813058,0.2999885164147238,6.85143234568919e-06,1.530163
64,0.6400000000000003,1.530156064313656,0.29998837693113595,6.897186942023126e-06,1.530163
65,0.6500000000000004,1.5301560328139987,0.29998824739925306,6.93568634391184e-06,1.530163
66,0.6600000000000004,1.5301560080662662,0.29998812752933846,6.967186001238801e-06,1.530163
67,0.6700000000000004,1.5301559898300556,0.2999880170398929,6.991933733768718e-06,1.530163
68,0.6800000000000004,1.530155977872175,0.29998791565742994,7.010169944310363e-06,1.530163
69,0.6900000000000004,1.5301559719664413,0.29998782311625855,7.022127824996005e-06,1.530163
70,0.7000000000000004,1.5301559718934845,0.299987739158271,7.0280335586758724e-06,1.530163
71,0.7100000000000004,1.5301559774405582,0.29998766353273515,7.0281065154276234e-06,1.530163
