iter,Prob,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,Fobj
1,P01D,2.709630027456985e-05,0.09285652459874046,0.005570915434974922,0.7189890860939283,0.7401397295303095,0.2730142152409365,0.23342288937280653,0.48044714833302177,0.46622946652353614,0.15250924429952767,0.8812860095744641,0.016275211185702274
2,P01E,0.008636122454814097,0.0010143077825180424,0.0033950442415752718,0.6038314315633169,0.8831296586456365,0.11948302311458689,0.9501981981863622,0.163333254202707,0.7607650437193655,0.14348411412606027,0.7729438735011557,0.057282960932572444
3,P01D,0.0032404152009300894,0.18928684706934562,0.7864359002856793,0.4534885953494441,0.8992224851624396,0.8963939449802246,0.7162314041971969,0.7278138699933541,0.408456743494212,0.31704412201162135,0.8530315004638688,0.01678400976386944
4,P01E,0.1169942145189029,0.031138541354428576,0.38872421435050536,0.9371440058767765,0.9228525284330529,0.6835424707396855,0.6996108347041368,0.24332636709619535,0.8942428910730663,0.5115349013844643,0.2646203601398777,0.07126566308448094
5,P01D,0.0041615910348555725,0.7062944893128348,0.9985062434511575,0.1500666338284748,0.8055438025485435,0.38860160196211035,0.6434260549420009,0.3334020012209847,0.2295394689019835,0.14151019372554888,0.3533018598116269,0.0168649637076425
6,P01E,0.00857871007237232,0.0007699195335520007,0.0033612836930020495,0.6430445951789374,0.8450166093393896,0.5138659025322438,0.9656508932641332,0.04794362886863224,0.7953405342859095,0.22832343530777982,0.7627060103781726,0.05669820335156021
7,P01D,0.004789414194168187,0.7759382816471692,0.996795839922036,0.2972300703004333,0.7661087864887732,0.8543412293599697,0.25488638096052607,0.3836268806833766,0.31728129398384974,0.06708161319136352,0.8390127444478194,0.01696647680103399
8,P01E,0.16220487332030314,0.05882868567073615,0.7367421812889714,0.8895715063822638,0.7688341413376694,0.5716315483065078,0.7232615318507107,0.15819234391951506,0.9425389436750985,0.4100359843064339,0.12478216304204882,0.07134036507453993
9,P01D,0.003858741695230187,0.8553451346591686,0.9485221774922014,0.09079861299908473,0.9377144469802172,0.9683448959868624,0.5154690742088381,0.611226319827575,0.20764565670622773,0.29752531179202973,0.6273703911887218,0.016841327159086057
10,P01E,0.008278808440895196,0.000949240714787205,0.00311793884801836,0.4188957943329803,0.8079517867209711,0.2630005027323956,0.80675571435017,0.164722593849306,0.7291952388243126,0.1582566491917414,0.2670338840960089,0.05707499267955314
