iter,Prob,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,Fobj
1,Q01A,0.005114104504979393,0.014470491665858704,0.9764245236074299,0.024898532618165187,0.6799808131467313,0.0007309510068910319,0.0006594346500292097,0.9380893876302971,0.7256256719272113,0.020308756799014442,0.11354634397103097,0.9809148695457657,0.7968540339796324,0.8433989941169882,0.24192751562562825,0.4710861305241061,0.5428920871290708,0.9204010217801488,0.6865803351173771,0.0013581017851744823
2,Q01B,0.021294707753625082,0.002744346055227341,0.9946867991902916,0.2620543639251033,0.27007151047070665,0.005061183554521261,0.13652941600022792,0.10427729922461981,0.35032083578083073,0.22550285859675073,0.022185344802425344,0.3340376961760452,0.5241981074551058,0.9821427984065731,0.9938748395806551,0.9074566695588373,0.5534478857344902,0.4916568527601189,0.954876109663239,6.1737548943535625
3,Q01CA,0.16782269241101583,0.05211834669493779,0.12370645059611574,0.001637159084501575,0.010903236475068412,1.4504848732725928e-06,0.011026986687196424,0.1533236020724904,0.4853983648017711,0.00011968117099589535,0.0011246354738704196,0.4868474473324044,0.9788356093677986,0.04997998345858239,0.6552256582152165,0.022545723493814125,0.6491738110631496,0.9965687884451973,0.00859291967756283,0.044846319769395564
4,Q01CB,0.10467351075925285,0.0066498716966825605,0.8895039988084563,0.15492682459563664,0.4107814023081505,0.026859707980786407,0.15368387786550594,0.5554996718722416,0.23942286375737076,0.03205962154712243,0.42995862738906665,0.26214831072735667,0.12601322407037624,0.9001979431343576,0.6548955906347065,0.8388748094338049,0.9083248129926742,0.7672940370978099,0.3161590031838448,7.507796155112186
5,Q01D,0.005115765920259192,0.3157400093212016,0.9999945896703469,0.36642650263182586,0.3492419774134167,9.050476062854891e-05,9.068174712656304e-06,0.2775958292557169,0.2210843777199242,0.8056116080818672,0.7683382261572447,0.05490989021838976,0.7419576463737172,0.4374190569120393,0.8244577691716657,0.9521346422759942,0.8405808838924557,0.8044639136533782,0.30363396455823605,0.017005954701464106
6,Q01E,0.07055715854830599,0.12780623316541193,0.48156124357993113,0.010547151492677077,0.12822337902311823,2.251365513972052e-06,0.49966399726559624,0.18631834428066044,0.8262847245848662,0.00427813572970797,0.8628492736372999,0.9980347774419877,0.35412809559575686,0.21012456666456678,0.7246619634773366,0.07430945087516883,0.0247521946916774,0.007537864820809252,0.26765057242837675,0.052984552258710745
7,Q01A,0.0057297187415500765,0.016077847612477485,0.9845985248960644,0.022550723300219955,0.5990228548275467,4.5676165715350724e-05,0.0062577069155403155,0.9960274321811149,0.39574293676084527,0.0016170365290872606,0.1599857835386022,0.9111030743434969,0.3765643746516123,0.38837726103673,0.7443270162409338,0.9552710137777053,0.49790771195343775,0.921367219780524,0.2960675757091414,0.0014030354961746714
8,Q01B,0.018444765056392358,0.003998922321817755,0.9337909845551531,0.08168569445544785,0.18750039892584247,0.04255226362931776,0.036416220333474504,0.4540471671959532,0.4917472296802013,0.25795977238054063,0.7729736643033469,0.7783346768476751,0.8358811713198258,0.6346836050056138,0.8952159903750928,0.825235481423676,0.8647660073098289,0.8908884809903888,0.7859556667908135,6.3918743077231674
9,Q01CA,0.09656458055036478,0.033474458322426945,0.03911690607566321,0.014634572951663864,0.046336480678857844,0.0002566946786982453,0.0016940055418888903,0.2568939406465428,0.7402430552084307,0.0010736040058637606,0.005486420268315024,0.9084753495803821,0.9685899142004206,0.04716270870635565,0.6133728073631853,0.024591787642667177,0.9785727599824285,0.9899872725159418,0.753972212373376,0.04239057982946753
10,Q01CB,0.12077846565657811,0.004655576476458659,0.7497117362543124,0.08558453338327879,0.45671017426883664,0.1742607540985865,0.009491078618037677,0.3648945485586671,0.218635685946247,0.2557043509391458,0.04458939325126732,0.5419415979336537,0.43746853221566684,0.49523222556609325,0.986966045307727,0.8070466672169277,0.9045642065889203,0.49189707126375337,0.3948663299092148,7.2455380997777
11,Q01D,0.005850969023119488,0.12452000370647652,0.9997757444985922,0.5377813648024526,0.3820589095244946,6.167128749293691e-06,0.00033120000358901854,0.021848424746625274,0.888366143611929,0.4696379542081857,0.10622632208637665,0.005743291642299444,0.43291292852823726,0.6029526611739426,0.6738895854567369,0.9754319516172247,0.7813656752051156,0.5745806955070889,0.8658039583928557,0.01712311779930427
12,Q01E,0.1273557413310498,0.22623359508485166,0.8518782231395172,0.3005667068666683,0.5780721662382536,7.68279072573667e-06,0.08112145838509999,0.25382065998371595,0.3280661561333742,0.0019129363077014308,0.9445929289492043,0.9888291914015686,0.11027552019283693,0.26882243119540294,0.5448695394380902,0.056857537360521196,0.013326024290576128,0.20709173016547572,0.024463113445837736,0.05529174489376967
13,Q01A,0.004010296315030914,0.014802802492442216,0.9939881949357743,0.07535879888512725,0.15882906401733768,3.6438141699723785e-05,0.0133325078494676,0.554351544349073,0.5725499527703986,0.03310182204728718,0.6718391529347616,0.9895194196968702,0.5199813334113705,0.2541828246212864,0.6647113741797014,0.5760616176297892,0.20737901914860568,0.8153443889001752,0.7986799713184669,0.0012870882783385187
14,Q01B,0.764162211911501,0.0023959277310559024,0.8406139630832465,0.3780155002390956,0.47274573036964695,0.0060528075716401175,0.07628470647633981,0.35491045017599177,0.09686235794876064,0.005976782753679417,0.3678484374686324,0.27085567869275184,0.689348596591539,0.7942247917604629,0.6028026221890895,0.9064144261673392,0.6589366705351951,0.8570713999667324,0.18824115769737076,6.789437869609874
15,Q01CA,0.1534275787070322,0.08540561926999334,0.0864388517819579,0.0041618175570406705,0.44146391263907836,1.5281990431958454e-05,0.0024747350606547716,0.8133652888161306,0.3874809642825623,0.08012911331834915,0.3598618117502119,0.994053496740003,0.9683519878322303,0.0017284861148978582,0.3535643757477286,0.029751097702338202,0.6247113061294611,0.9954933865850046,0.6711772698295156,0.04683546230448526
16,Q01CB,0.08624094134063243,0.004680428115241388,0.9597849171998212,0.3579035566674086,0.6620764820887444,0.009954784461646441,0.16181408794015423,0.2555766153436291,0.74232818548877,0.02629310138416991,0.2971689383771813,0.7937904262251477,0.595833472830948,0.8815165475257492,0.3980138151061275,0.9524963140054539,0.5368771068116265,0.7634499963397436,0.23531340243947269,7.304479995541582
17,Q01D,0.005118275670186656,0.34304956091288535,0.9990576225064185,0.666070394160712,0.1534590926929038,6.61315301913486e-06,0.00047935765112956826,0.16135457095368677,0.15222374479577583,0.8659625711123942,0.037878232524374826,0.1000310267327833,0.6722850251711401,0.5709856887635745,0.49449591317540453,0.9592911865057354,0.7361587685646749,0.10558395510188198,0.22955644925131313,0.01700450961962595
18,Q01E,0.07209100024097496,0.07352393305556293,0.33094101156301137,0.026901562593353835,0.19414209930280918,2.5611814395112033e-05,0.2575360935729221,0.8705670978482514,0.7161162413464703,0.0005529022498844507,0.4845125044584782,0.8035092059380275,0.24730490145239556,0.08045539712375882,0.9216952598227544,0.09117117223527078,0.0023888408513495565,0.6083776076979437,0.01738372446020635,0.05438295917509638
19,Q01A,0.004450825791434666,0.015080379640175385,0.9696086225945582,0.03926997177969915,0.27101458146025437,8.65316404188531e-06,0.014829398935797437,0.6888140891598596,0.3517944164500917,0.06222537007785365,0.24201053641550882,0.9942703146417009,0.2656183254738742,0.23605727576778113,0.294493379884199,0.8608761939999655,0.5080544618179876,0.5906796243557105,0.30225603724784805,0.001370875473181668
20,Q01B,0.00510099791305374,0.003151102963271129,0.8590241444805461,0.16637291171254623,0.41506360823688104,0.04346423688136827,0.3845506036397878,0.4414942551951649,0.4596531773826642,0.22729904321058372,0.6310071526715393,0.7745576577190085,0.6005384464225331,0.9593864975602181,0.46695478452862504,0.9595557955526075,0.15321267392473606,0.8343536320253777,0.4485427162899896,6.176886902498997
21,Q01CA,0.15773712667719952,0.09456879765491708,0.10778416966673085,0.011248367137204753,0.03453792132180259,1.6163970860575013e-05,0.0038428400651612867,0.6684720417991301,0.14645136455536387,0.00023029125159964575,0.004849083853682603,0.964288408908708,0.8307903108721026,0.1713485877181763,0.46995152377404514,0.013845607880777086,0.9374803966223605,0.9931924854958214,0.6184072519939542,0.041933810509582455
22,Q01CB,0.11299029286797407,0.010159290783543978,0.9996284683069814,0.21781051248284305,0.2680177137817285,0.0029134789125824,0.22867071443300643,0.5838111690301647,0.20681459014024056,0.0049801189734892315,0.8537643591766815,0.2367962464702233,0.006200069763125281,0.9476383624076907,0.7670602718220939,0.882986474667854,0.8982395875935067,0.7246824770171629,0.1322804506461004,7.517992001664175
23,Q01D,0.005109254621950868,0.32136837264907203,0.998792865736312,0.3351650826852759,0.7369996149463001,3.4309225702356174e-06,0.00018801646057875276,0.22391331724180236,0.3437175915482056,0.8139697646289744,0.4171049720177016,0.021535492610721848,0.3653376477909518,0.5990566369655075,0.632918789872486,0.9523685825185657,0.9173481193663304,0.12351522713941238,0.32576736313101984,0.01700282145470088
24,Q01E,0.10181940358368949,0.11523205948112805,0.6811075047788808,0.068889654243799,0.34753550255813287,3.2036760883785945e-06,0.05306719912784496,0.3820923022188574,0.34946677463465,0.001981302371081329,0.42635833456826744,0.8954938307148492,0.38480065519884743,0.4760279352453143,0.23070162881910744,0.059302215671471065,0.0009646001908104162,0.13336532544692248,0.2075397045891632,0.0552708458876989
25,Q01A,0.0025794926974340056,0.01295707749885312,0.7121548404527533,0.21543743303988927,0.08931670058547275,1.68639472598855e-05,0.006885746645694023,0.9950860925989797,0.19567929129951184,0.013910562185381576,0.6599151314463934,0.9950331647991281,0.2835526564103928,0.2649085200049287,0.376774590041409,0.73290767098456,0.8930498240476433,0.8411016302037932,0.2611903559484549,0.0013404988144540798
26,Q01B,0.008693815734404505,0.003656750493521043,0.9729852882294694,0.37655588649500304,0.15356557783438635,0.0031581310043282745,0.21887308804209976,0.30832782641285306,0.2389046188153467,0.18097398608658,0.048904271920077666,0.707789943662813,0.16978889002993194,0.9628308361540634,0.17271498676266517,0.6610826006038899,0.9066370559068903,0.8775238531723063,0.43641317002121915,6.23881399290069
27,Q01CA,0.08765561954497261,0.036361972013181636,0.04139779489495878,0.053764413814073174,0.17596299080716446,0.006602803840614607,0.02526227100745032,0.9657612471057984,0.25643223827331885,0.0017800287520830715,0.003154849251774134,0.996416448618985,0.6301289433111346,0.02715653763986378,0.055212161659085435,0.024190890069402074,0.9226735300445734,0.9504601748975958,0.4178183005678733,0.042824898872139756
28,Q01CB,0.10850759092437029,0.004226445981425695,0.8448725294046275,0.16345312302276843,0.3120490066174548,0.14009211703049915,0.34097617098378163,0.4894414103654027,0.22967560820696178,0.4094984701274529,0.37784990505338456,0.2350209812598661,0.4886017867270773,0.9352653636305985,0.5303901349704392,0.7837614681473544,0.9730886609851397,0.6195080837539781,0.18743988740244955,7.302080104930678
29,Q01D,0.005145929815890913,0.21874093442558667,0.9995679846912409,0.11309682146716439,0.7987040121368709,1.2731929348053199e-05,0.0011456774356547433,0.5831565211022794,0.2848871893376889,0.7428794009596786,0.45816995161382984,0.07931557742587697,0.6950066626683877,0.5940344164332111,0.35526146998562025,0.9541943819938021,0.7642585623099138,0.5308946721177913,0.5047866352472299,0.017010681493537568
30,Q01E,0.07191273046583144,0.053385997601262475,0.33887861371719485,0.3462237022033975,0.3048947503428802,2.1477699248584897e-06,0.04956087019464227,0.6156568437418809,0.25644195610375425,0.0016364495103871658,0.7907114970269438,0.8614370822301916,0.5492573603112163,0.12507947934099772,0.395159219094008,0.08385525493863133,0.0020096861040052524,0.18615551573760986,0.0893776430475081,0.055488559025316124
31,Q01A,0.004068955982824781,0.014451290118657749,0.9580016439352332,0.002189871190300438,0.23303946274590664,2.9295262723959107e-05,0.048249416380342684,0.8443605083207986,0.46002796221973874,0.045804028642962846,0.2221732596552069,0.9489572493532229,0.33874648447792444,0.1585929150003107,0.8779030249787285,0.7663193850372576,0.7483923471770164,0.6459417311428659,0.3036441467430479,0.0012936098522985668
32,Q01B,0.9705722767825973,0.8463715336587652,0.3946278414871299,0.3851443464546598,0.1266977621269647,0.05959985353754345,0.06972773393641228,0.5546117897333461,0.5919759477225232,0.09851775508737592,0.36850681464010626,0.4963064482299461,0.09961823424500571,0.3837430549733565,0.7319707595393669,0.8892045430181763,0.5741672655314216,0.3436381383889009,0.1725794701795002,8.773358072535204
33,Q01CA,0.10896064771038305,0.02212515961635854,0.03743367652260599,0.007250091791518955,0.048737956841171826,5.322281243573716e-05,0.0001320790336350958,0.17652890734928012,0.42329067466882686,0.0001410749592716474,0.004718653644172961,0.556486725793327,0.99843182838169,0.008777272753371835,0.607611240870567,0.04619350357086061,0.7334397113277467,0.7587216731483214,0.9317877394553769,0.045270625990433
34,Q01CB,0.382209304009843,0.008750879676193972,0.9461381753642346,0.6592964820419985,0.1745052567693215,0.0008155677983751053,0.02341040740912636,0.07240477657894957,0.9208405846707801,0.043377401824084845,0.1605105385752807,0.35993039904728075,0.2775173180323223,0.80704252412431,0.8516931575454451,0.9685995217035612,0.4213597147495627,0.9658380379510675,0.46381083955498714,7.439699257079887
35,Q01D,0.005061959745926648,0.1599532381252719,0.9993218165932418,0.9114544315460962,0.7339569060487214,1.0774567354295477e-05,0.0013217653254479567,0.3014602488108236,0.28643731872794814,0.5878069067731264,0.585706994096166,0.0731327391487812,0.9027035451549172,0.4239433793381273,0.14379846948737346,0.9145748251612237,0.9900949126310009,0.8181243374997953,0.1317819406435189,0.01699892239990985
36,Q01E,0.10513976403478997,0.16264669808086002,0.7115884253693731,0.011667062955351845,0.49214009179796936,1.8274989676193787e-06,0.2746191700032317,0.251433188016726,0.820198914769142,0.003495576069171032,0.19054033060997413,0.8351169604337271,0.19778457773665736,0.482510967353769,0.4762443663073538,0.061923007619620496,6.169050129977693e-05,0.039828661321215326,0.22424157983856946,0.05430694928092292
37,Q01A,0.03125318234530797,0.03790613913189685,0.9994385636409471,0.3230097537477224,0.46180401665804305,3.4927027391821463e-06,0.03717984246626975,0.6919701680396804,0.9567913590463268,0.02527853585043112,0.3518968744502892,0.9008747238766179,0.4219640811898499,0.7624312656473088,0.7575945912316437,0.15335960585631336,0.626215640237229,0.4517269950821156,0.6214786043802603,0.004509665743020671
38,Q01B,0.0216621198424292,0.0030561954647760152,0.929990614265421,0.07548845261448808,0.23140446363928066,0.04372274697439507,0.40418125037609043,0.1025932589669481,0.8395250650183766,0.36669953760157004,0.27903960155107155,0.2907599709390788,0.8147294719847784,0.836375592805386,0.49629359706348425,0.8377443987680984,0.7080965399316019,0.7861138413183402,0.43181913639133873,6.184388207178897
39,Q01CA,0.08609936047129561,0.0268620672841354,0.02622630316187773,0.0019180675935130708,0.003166542235781833,1.5387291284545577e-05,0.0017654635590199858,0.9097877427340488,0.5333562312604921,1.4859605881944131e-05,0.0004068970304425307,0.998669259911214,0.85775860500758,0.7319825022485253,0.3838670793462158,0.0346930192282277,0.968266993189393,0.9879036022244769,0.8354312731538869,0.04408424160859743
40,Q01CB,0.10518815752808144,0.009126453001982254,0.9339514077204067,0.5019830725993157,0.14198008830696435,0.0048734187395577415,0.18893823875354798,0.12363460569272484,0.30812381570967706,0.0039582516045130745,0.6652135502749406,0.2742218368373726,0.5384008013706161,0.8323732130316208,0.7354173910825472,0.9717750389385853,0.53709188308801,0.7360493055962601,0.3744594672670161,7.558385571609313
41,Q01D,0.005126994408291814,0.20977634259220068,0.9995886416790587,0.9161378337208292,0.9056873181035723,2.6504653232174443e-06,0.00010130523246461876,0.1005053710895204,0.3369857294674483,0.4911085108056247,0.19886322825686256,0.007260392705924337,0.5601777890398498,0.9741842601948966,0.8579178988827122,0.9692545642142537,0.7431803222157947,0.8322821832150745,0.8783460939484647,0.017004284044681958
42,Q01E,0.04235945329290973,0.023807879411947258,0.08676801700841405,0.015735056340661226,0.9022165182858328,8.522209841469499e-05,0.02935354219538632,0.9696306586591938,0.8238655447670862,0.0009898882552119117,0.7449092332990477,0.9940250243398483,0.1680119037872565,0.024950731045053902,0.16869142122522143,0.18225718878023625,7.2023383863238645e-06,0.02533469331160998,0.022277246676557755,0.05548086528405357
43,Q01A,0.003337876121145474,0.012534848526509997,0.9588835131149723,0.041128450389063834,0.6005602575091816,5.331076042527927e-06,0.178374131746344,0.892677652774713,0.015997744171344003,0.002046536121165318,0.4195636570284633,0.96378749405362,0.7036127805041025,0.6417768891837111,0.31973447059246635,0.8473497064015427,0.21094510290900076,0.7833446334227594,0.3033759107685412,0.0012614864396072144
44,Q01B,0.05970243714533658,0.002945355647396105,0.937556708615287,0.06975632469964213,0.3812906406755093,0.0017486639402373044,0.21327289162193233,0.7992784760963336,0.47548787330312037,0.020030267925177994,0.10545326544460609,0.3292946769566327,0.24521753767099824,0.9989108527684543,0.7322755890534424,0.8310622079976436,0.7918688623838286,0.6007439735224095,0.8723347278411367,6.17929471661863
45,Q01CA,0.17671711430034082,0.11414381900381394,0.11994986090214071,0.004032713185666479,0.14348450124249595,0.0003908360851711263,0.004389781321092678,0.07905631884747721,0.049269464611592,1.1138220475489022e-06,0.011209467492801136,0.9982918296300378,0.5716069126005752,0.04923177807101012,0.6704335363135112,0.01809549785867407,0.7835221286956402,0.9813396371422892,0.7108612504033867,0.043404442993913196
