h,Tao,Region,B_de_reglas,M_de_inf,U_de_acept,F_de_acept,x1,x2,x3,x4,x5,x6,x7,Fobj
0.5,0,2,B2,L,A,Li,0.361041618,0.560606807,3.417830334,4.926761627,1.685244678,1.510470767,3.137264045,1.219373383
0.5,0,2,B2,M,A,Li,0.427668161,0.687904947,4.71049618,4.999998091,1.103025393,2.375274674,3.902101582,1.221034769
0.5,0,2,B2,L,U,Li,0.361982495,0.582064666,3.869927524,4.999489689,3.197529564,1.407716929,2.903073026,1.221920092
0.5,0,2,B2,M,U,Li,0.235492506,0.374925611,4.304981888,4.996006782,1.242923269,1.502481613,3.414944661,1.220228714
0.5,0,2,B2,L,A,Cu,0.367292172,0.561596126,3.76477345,4.739005038,2.255274625,1.416891828,3.825226321,1.220527556
0.5,0,2,B2,M,A,Cu,0.24608768,0.399033503,4.654015277,4.997205681,3.329376963,0.792632518,3.652451892,1.217342516
0.5,0,2,B2,L,U,Cu,0.305409555,0.484049985,4.780312049,4.927708393,3.931358748,0.832184071,4.058178697,1.219546406
0.5,0,2,B2,M,U,Cu,0.233163612,0.355285422,4.836845241,4.504385124,2.521909577,0.714800268,3.953966127,1.218973887
0.5,0,2,B2,L,A,Ex,0.268998452,0.418472518,4.984224526,4.999742177,1.991464228,1.046511041,2.616198015,1.218297728
0.5,0,2,B2,M,A,Ex,0.408585251,0.648005874,4.733878573,4.995565468,2.222954122,1.521619546,4.096023405,1.219888007
0.5,0,2,B2,L,U,Ex,0.376706147,0.547141351,4.997117949,4.999991694,2.364227673,2.40995967,0.326436708,1.220645288
0.5,0,2,B2,M,U,Ex,0.347441554,0.569154889,4.500454335,4.999942092,4.352368831,0.977801966,2.76472613,1.221951817
0.5,0,2,B2,L,A,Lo,0.755074704,0.969056661,4.984086012,4.999914423,1.044445048,4.580181014,1.798349583,1.211082805
0.5,0,2,B2,M,A,Lo,0.536005721,0.754944871,3.85612591,4.992734319,1.016422274,3.63895566,1.159748043,1.212679391
0.5,0,2,B2,L,U,Lo,0.453973501,0.592147522,4.669123642,4.999999918,1.648993317,4.50909541,0.739604178,1.216026853
0.5,0,2,B2,M,U,Lo,0.372131968,0.518432153,4.225163438,4.995128198,2.523624474,2.191953511,0.318333912,1.216585672
0.5,0,3,B1,L,A,Li,1.696086249,1.637366267,1.117361771,1.068692671,0.566594106,1.408750301,4.826784215,0.752573485
0.5,0,3,B1,M,A,Li,1.411560092,1.23925301,0.748673655,0.716293092,0.562647416,0.807669846,4.588981532,0.752043814
