iter,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,Fobj
1,0.056599326273065964,0.8799666227691575,0.3019448571513038,0.7836178980242596,0.9170322812507234,0.23964415183896165,0.8963511857383354,0.4209241496525457,0.5202233400006645,0.6047113313555346,0.320108786594301,0.22377688018711028,6.679357090023543
2,0.03376057265823118,0.7081563692170427,0.7941635101508625,0.5720211521070226,0.8756956141617955,0.260659812354165,0.19774897091381383,0.304990737051365,0.46403925852021516,0.5792727692532937,0.5004496158125664,0.1445854614166543,6.800438858266136
3,0.9106762318232118,0.1742106555912657,0.6896570926233825,0.9570702653849792,0.827695342642863,0.18986602707633965,0.8713078414117966,0.49162647624736816,0.11675618463459282,0.4918782217620783,0.15226259443173032,0.6900138519261816,7.310474607492635
4,0.02122044683935842,0.0010053071143536485,0.7730728686157167,0.8250026698118439,0.71209927790856,0.040318990607866145,0.5780332950533644,0.6800762692806789,0.15531567334567378,0.39043806581726764,0.381656819704901,0.16872120773507704,6.48501067579014
5,0.10152499461161324,0.6674085226602815,0.9147468887802674,0.9641437747085034,0.870024927324158,0.010117120288458445,0.30869158655805645,0.7648153481094606,0.5171754455859151,0.3167746975410445,0.13272463180786223,0.3573670520136051,6.803799112969837
6,0.12299654129132127,0.43259742674181834,0.6256675240094707,0.552482431283214,0.7912116891461586,0.30275543060111026,0.4768576962292786,0.7171708019707719,0.2776299491904375,0.29640273929773114,0.17973823908667752,0.47445140789788337,7.104027634341221
7,0.05015649395993793,0.8918563668389898,0.34218673440469494,0.40972505206432025,0.7119343411017752,0.31600725068545943,0.662332925710597,0.1790753660072606,0.2401227545598716,0.8207012019462455,0.29277327784308216,0.26890565174924275,6.794893044355928
8,0.026826632569983078,0.6061179887732523,0.28392244697261115,0.8702626473590103,0.9784069313382722,0.1406221406885837,0.6091517778719051,0.33187034280234706,0.02079762295611466,0.5267945220777603,0.1710695714794806,0.23054162695007108,6.7702277345662765
9,0.04233669406380347,0.2105303734505553,0.3172300128036626,0.9769020465747257,0.7376997275540071,0.43658068229556635,0.7141182012895501,0.21850270397281102,0.6047908231071589,0.6347356287419768,0.44300328801801403,0.0840887151201215,7.111035560937872
10,0.010016837373780452,0.11302457716575598,0.8442731676444011,0.6455743746872113,0.7290955166965264,0.42757848571948387,0.38895368548389303,0.32040130242238807,0.8754241439203068,0.3754581922106095,0.3470118019101095,0.13043171242153695,6.64316606678928
11,0.03333228518938042,0.6413393795710495,0.28406156488312434,0.8539680075421072,0.6786636742086922,0.6276765973069054,0.49539971956897194,0.5365368508778298,0.19482046469114095,0.5637911677009847,0.14977070384279928,0.5768153470110553,6.7497013591007
12,0.13028295526237232,0.9149777350618375,0.2110141621970184,0.06391808524645315,0.9730623989606251,0.3090693970028727,0.17669640821876875,0.46588904265453446,0.19198299727422907,0.013464876918740876,0.29037620750047743,0.4534600513202184,6.676667870812141
13,0.9083583332219811,0.16869204260043327,0.6695313420503171,0.9141721784503289,0.7916524222909129,0.1489061329490291,0.8364214145147603,0.5579686430726397,0.31232888192342934,0.5901703606924271,0.21965815367927982,0.7091173261356214,7.307189359975305
14,0.0312713191509858,0.8943586205160822,0.6081562006803785,0.8131740331410306,0.7653759264108076,0.09234604705204852,0.009924411075136974,0.27654675049111116,0.570298134012398,0.6187012300993544,0.35778861932035644,0.2114520616632014,6.794151762665973
15,0.13535918761744925,0.5384078383804036,0.734919096306357,0.8065190059892536,0.7113019052840099,0.4513578502165177,0.6598466164837485,0.7102018684692633,0.27456967986819647,0.2505118065780825,0.23516678121237256,0.026779593282161313,7.254114109155624
16,0.04899029538703606,0.5794593244849531,0.08834277275913455,0.9366346131364345,0.7517809280864226,0.9224514344807538,0.6160153201069023,0.1062354773986455,0.7082684625803087,0.47204017555932054,0.3047422387931604,0.11985653198369242,6.820839845320352
17,0.11919345701192025,0.5437999496445887,0.18831476857256318,0.7523599060824555,0.6812111095820479,0.529226699009708,0.8514871967520655,0.3676045696035466,0.6324872381094627,0.8476926656496933,0.11589058109598196,0.4848892042966131,6.689453239524373
18,0.012973929752278845,0.6472933316730531,0.8544923034517603,0.2889080465370574,0.8176834066970182,0.9866155659116039,0.705719628255987,0.08155904455317153,0.5442947544125527,0.8980156456444908,0.44878669172163455,0.16268898599979142,6.643151108583424
19,0.11664964710503378,0.3291069702439235,0.9550671173184992,0.9355583080023283,0.9006693695949516,0.8565910097776162,0.485536858603559,0.8566150491183053,0.7112085718346502,0.6450873687775867,0.09440866146209788,0.526537864127636,6.990022415181854
20,0.7339620676017005,0.04733176563828369,0.1307590045370121,0.7566114591312738,0.7208743477204399,0.507747356220406,0.4303336829121017,0.6245486835254368,0.3319451979698133,0.31043728845046464,0.33407742234579013,0.47175635820787687,6.658818188808841
21,0.07800267304516939,0.4230238363463523,0.04036116165357284,0.6527662352561789,0.7148183100041199,0.7697757121936565,0.6226289253509527,0.5664921377541342,0.1395165046912526,0.4378366959977529,0.2579038087925266,0.37973608824712113,6.957505809679316
22,0.025918445619349306,0.593169083763001,0.7000576302852166,0.5094790400030542,0.8315633846137407,0.15548549385628851,0.6908280776449804,0.3010617523214888,0.1377789279483741,0.42016797434986547,0.5521818943294761,0.4420374085030023,6.9552750041049185
23,0.8681295895648804,0.1647646161325897,0.6529981122436003,0.7516984054132331,0.8991466712659897,0.32987870744570613,0.8030378027786966,0.4588920401420058,0.18594507737983576,0.496586209702936,0.09971359667557134,0.7848454031903661,7.311993487768122
24,0.9126042002173818,0.044378465750140594,0.01722895023649279,0.956093472408944,0.9429393936020376,0.11077556307917957,0.9911281541098049,0.47309408656985047,0.3277551246415272,0.7556815832911177,0.12429201815648083,0.6994553371174825,6.912185677624005
25,0.1391101613675242,0.2812196930517532,0.7461250800927968,0.7902610141171758,0.9400003811650528,0.2687699265382391,0.4493888692334603,0.8539796364414367,0.5473035296904798,0.35935817898982947,0.08762109266774076,0.44056193118157144,7.312917295131577
26,0.10711833357991807,0.5018784869828794,0.6366981048697478,0.7210419523504451,0.7138556824017659,0.5547005446879354,0.01828052288644344,0.7009646003767153,0.8140820972547527,0.13926568163739472,0.23852448233578305,0.6216801091340373,6.976366850414317
27,0.10572214429318427,0.7719189857309102,0.9926631523180776,0.7754751930734878,0.764229206337041,0.32266389389531425,0.677411509823737,0.7728947084381059,0.6531699361344561,0.17896907761657224,0.060442497472565,0.6054668453545162,6.93995752981605
28,0.04950744925348771,0.8704846683844021,0.1727501615730328,0.6204240029397203,0.679579942909593,0.18468947247745038,0.6468682848282433,0.13260708055538584,0.20802393947888081,0.23793836728142959,0.17891808153179933,0.24234822081883328,6.899428959605076
29,0.07427207564959082,0.9694606818627204,0.10138585538677702,0.8438095580836321,0.984428976273584,0.464449186575024,0.9194929787125097,0.6385375718122648,0.5317901351791401,0.721979654175535,0.26763735065370453,0.5013249664100998,6.51196138383524
30,0.8938174954677661,0.2171940257327014,0.8199095223790935,0.6901775238796528,0.7836113261061467,0.30566872161490277,0.8094394428738085,0.6049955459146692,0.22910531198977774,0.4355812551287754,0.2360426538602282,0.8100627516925121,7.327269576003756
31,0.07319926892593187,0.24369510156296742,0.601536350004435,0.9319240744666194,0.9175448829139081,0.6058194646418694,0.7852487823389103,0.31449983108661445,0.4753921552356124,0.4008021617661823,0.5419575827365772,0.19984559400851343,7.1172156981488275
32,0.016748748617793963,0.4136701294003724,0.43036769602715796,0.18629206749034477,0.7234331475747302,0.20165101324985846,0.3451881092821152,0.03613510384902685,0.24019590907125277,0.5320783933487625,0.5013087519335143,0.007567016668661733,6.611174728930189
33,0.9149504044049338,0.18061901709536188,0.7011223072483475,0.9008351445401657,0.8973856835751794,0.4920485273576117,0.7637711284653252,0.41736816682942685,0.12074873334591918,0.5611983389918709,0.1534841247563476,0.9640123777538551,7.325461163156862
34,0.9086571991681017,0.18888474677417927,0.7399347500208295,0.978923171588478,0.9841111011298624,0.1616302302677989,0.6924957232064244,0.495863733873124,0.13786674984790614,0.4936440284480884,0.19965308277857957,0.8150074851062592,7.318026221126785
35,0.017605130378781184,0.6937137098756869,0.13925671751536225,0.8606082191124197,0.9827111069316894,0.747323227985607,0.5818866472494822,0.17894373591668947,0.723770809602496,0.28482074454462913,0.3991411847724491,0.22466495570908507,6.553269992382611
36,0.9073402446293647,0.18141452906836153,0.7126715805759398,0.9876431923405586,0.7463160426253008,0.2000861832534604,0.8048200145274261,0.4989695148661557,0.05087599232723013,0.4329815025884357,0.1819226757585056,0.7517813018976582,7.313842342570798
37,0.9088370489246517,0.027600059693743573,0.017221223168370492,0.8468718804438403,0.7314841434703433,0.056214953449132535,0.8321423991472199,0.5607925665958007,0.1543527685079308,0.18763300040078623,0.10078400871920408,0.3409311143466732,6.509286076391529
38,0.13014777640522532,0.634445956214228,0.9204038424156102,0.9256237320321323,0.9157292158222111,0.33128589807796494,0.7579159210674926,0.7797863232698721,0.3195355604720747,0.16989737392618973,0.06632481292623471,0.29839071557010355,7.181664252525444
39,0.043273418372184125,0.9073990565513904,0.6519294146735695,0.8289838805405205,0.8718766510602702,0.06540242051827638,0.03917599033516794,0.23157395168912964,0.20670538323633503,0.9825908530608268,0.3780807115757322,0.21871658752154755,6.827793484603674
40,0.11317989931686862,0.6769453004668393,0.9273843784740998,0.9063780263446681,0.7751776773856189,0.6469966070793356,0.26567520336353323,0.754222477752184,0.6586817308229007,0.27164771283931716,0.20967317363378307,0.0696473329272283,6.943185511087684
41,0.10371159311421574,0.5602415235865705,0.9245654928126117,0.9540189225367226,0.9150763814488178,0.23223128045322466,0.8781225846337322,0.7560978808939727,0.5977371884713947,0.25740395470516,0.182497313937022,0.44125548866263287,6.832860537424112
42,0.06712697063869211,0.94441675754857,0.5765741364635444,0.5325832596662763,0.9446852582138164,0.747622617059772,0.5478934020669328,0.18987115863414464,0.29132104127707104,0.4599715130743513,0.3828591692198024,0.31154379153267403,7.151422177478524
43,0.8623101802163915,0.16983572573287614,0.6684374128669925,0.8136025155795901,0.8876700652056104,0.0636485956408313,0.7991925461497358,0.49778408336512464,0.3103925763961979,0.6286635674917727,0.006535173040085579,0.8978937407985766,7.315367722490601
44,0.032997598184486665,0.715405264127979,0.18513624805196327,0.5362273780052336,0.8799551301200003,0.5555226491253188,0.6980963266922757,0.38655785374997165,0.2847546392022445,0.34443331836185787,0.2996413186053417,0.6382495915537065,6.527017394423608
45,0.1026329463988625,0.7334207441301107,0.9133535634058496,0.7084811182993138,0.9740575684587757,0.8828306939555385,0.13620383111906065,0.7796003151940856,0.6777678635979999,0.07696577435760435,0.1304390490628236,0.6424359398340793,6.957168227194406
46,0.13665681926372597,0.34902602493212226,0.8269312058407281,0.4627214791797557,0.7811726594850461,0.3021095003782218,0.23647841627571714,0.6816385690187319,0.04745972239677279,0.5881084257472837,0.1852287920452662,0.37039096834504404,7.289811704303424
47,0.10191074815615209,0.43739595338986803,0.7342343489050165,0.7277277383935331,0.7422498085585016,0.9068410810768384,0.555844804936032,0.9235589917755974,0.3661138063710233,0.09503590572017484,0.21025638308081512,0.3547958439566883,6.781709418513407
48,0.10043262863807106,0.9164368771998219,0.15092623471933653,0.6370646467945827,0.6930397581655021,0.6063846840400408,0.6793473715433647,0.6601508593910583,0.08698029923257422,0.7845559738919332,0.2226889807599231,0.2338489193382034,6.556419601691119
49,0.13743315014989987,0.9013049743940309,0.8878958487566959,0.6437813285982101,0.6885050748364114,0.7118065456577164,0.12876116727242803,0.7390078703958982,0.2950217200978293,0.2420442658594502,0.22652603783488237,0.16353659388431996,7.278432945370194
