,t,y,u,e,s
0,0.0,0.995103,0.3,-8.999999999992347e-05,0.995013
1,0.01,0.995103,0.30000000500237417,-8.999999999992347e-05,0.995013
2,0.02,0.995103,0.30000001000474835,-8.999999999992347e-05,0.995013
3,0.03,0.995103,0.30000001500712253,-8.999999999992347e-05,0.995013
4,0.04,0.995103,0.3000000200094967,-8.999999999992347e-05,0.995013
5,0.05,0.995103,0.3000000250118709,-8.999999999992347e-05,0.995013
6,0.060000000000000005,0.995103,0.3000000300142451,-8.999999999992347e-05,0.995013
7,0.07,0.995103,0.30000003501661926,-8.999999999992347e-05,0.995013
8,0.08,0.995103,0.30000004001899344,-8.999999999992347e-05,0.995013
9,0.09,0.995103,0.3000000450213676,-8.999999999992347e-05,0.995013
10,0.09999999999999999,0.995103,0.3000000500237418,-8.999999999992347e-05,0.995013
11,0.10999999999999999,0.995103,0.300000055026116,-8.999999999992347e-05,0.995013
12,0.11999999999999998,0.995103,0.30000006002849017,-8.999999999992347e-05,0.995013
13,0.12999999999999998,0.995103,0.30000006503086435,-8.999999999992347e-05,0.995013
14,0.13999999999999999,0.995103,0.30000007003323853,-8.999999999992347e-05,0.995013
15,0.15,0.995103,0.3000000750356127,-8.999999999992347e-05,0.995013
16,0.16,0.995103,0.3000000800379869,-8.999999999992347e-05,0.995013
17,0.17,0.995103,0.3000000850403611,-8.999999999992347e-05,0.995013
18,0.18000000000000002,0.995103,0.30000009004273526,-8.999999999992347e-05,0.995013
19,0.19000000000000003,0.995103,0.30000009504510944,-8.999999999992347e-05,0.995013
20,0.20000000000000004,0.995103,0.3000001000474836,-8.999999999992347e-05,0.995013
21,0.21000000000000005,0.995103,0.3000001050498578,-8.999999999992347e-05,0.995013
22,0.22000000000000006,0.995103,0.300000110052232,-8.999999999992347e-05,0.995013
23,0.23000000000000007,0.995103,0.30000011505460616,-8.999999999992347e-05,0.995013
24,0.24000000000000007,0.995103,0.30000012005698035,-8.999999999992347e-05,0.995013
25,0.25000000000000006,0.995103,0.3000001250593545,-8.999999999992347e-05,0.995013
26,0.26000000000000006,0.9951029997760015,0.3000001300617287,-8.999999999992347e-05,0.995013
27,0.2700000000000001,0.9951029995028766,0.30000013476158494,-8.999977600143705e-05,0.995013
28,0.2800000000000001,0.9951029991805391,0.3000001393950693,-8.999950287658098e-05,0.995013
29,0.2900000000000001,0.995102998808903,0.30000014396205993,-8.999918053909095e-05,0.995013
30,0.3000000000000001,0.9951029983878816,0.30000014846243506,-8.999880890292467e-05,0.995013
31,0.3100000000000001,0.9951029979173885,0.30000015289607246,-8.999838788159575e-05,0.995013
32,0.3200000000000001,0.9951029973973372,0.3000001572628497,-8.999791738850682e-05,0.995013
33,0.3300000000000001,0.9951029968276408,0.3000001615626444,-8.999739733717149e-05,0.995013
34,0.34000000000000014,0.9951029962082123,0.3000001657953339,-8.999682764077033e-05,0.995013
35,0.35000000000000014,0.9951029955389646,0.3000001699607951,-8.999620821226184e-05,0.995013
36,0.36000000000000015,0.9951029948198107,0.3000001740589049,-8.999553896460455e-05,0.995013
37,0.37000000000000016,0.9951029940506632,0.30000017808954005,-8.999481981064594e-05,0.995013
38,0.38000000000000017,0.9951029932314344,0.30000018205257717,-8.99940506631225e-05,0.995013
39,0.3900000000000002,0.9951029923620368,0.30000018594789224,-8.999323143432658e-05,0.995013
40,0.4000000000000002,0.9951029914423827,0.3000001897753615,-8.999236203677263e-05,0.995013
41,0.4100000000000002,0.995102990472384,0.3000001935348609,-8.9991442382642e-05,0.995013
42,0.4200000000000002,0.995102989451953,0.300000197226266,-8.999047238400504e-05,0.995013
43,0.4300000000000002,0.9951029883810011,0.3000002008494524,-8.998945195293206e-05,0.995013
