iter,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,Fobj
1,0.3163831443687337,0.3891063285048689,0.6136768035397768,0.8571931382762432,0.8453814559509694,0.08337619208988749,0.8506664030371716,0.5151723789084747,0.15128968369236506,0.9860871186449285,0.33998545059208435,0.19276616528444507,0.03842389763170328
2,0.34990872656186994,0.4748646639842286,0.7458580585227078,0.7707914842385822,0.8889601930954802,0.13391997746961837,0.8622442250929928,0.6196126886564621,0.3266700880391901,0.8348778896278353,0.4350455753827339,0.1676329380628146,0.03841987396882145
3,0.37136720464821804,0.5283789763006331,0.8273894516435527,0.8315979147435998,0.8243870158643467,0.7624671814965578,0.7161816232430824,0.6095015941822052,0.0136096868181452,0.7719400197897135,0.3560609651910994,0.030783443653018855,0.038433484127871814
4,0.35663677050543197,0.48732861475714984,0.7642926121889468,0.7506953732042211,0.9111708201924364,0.8648131230123963,0.7817157525051499,0.4566416546369095,0.14153388630285368,0.8058158034464264,0.4398342022609327,0.16282772815820765,0.03843563571020829
5,0.3597058324127432,0.4951120423000551,0.775706592712756,0.8785261192358895,0.892357103150428,0.8917236653935863,0.7516324891755073,0.6333467026905497,0.2165514043378644,0.6523365890143226,0.5243633189475909,0.311271897102593,0.038437654359983565
6,0.373424446751643,0.5333978938627706,0.8355032024514899,0.900279632095426,0.9050792555509072,0.8428551725201536,0.8436069253576628,0.5492706334335644,0.16744374152097014,0.7449145361232813,0.4747060388367641,0.12650943774530793,0.03843875949328948
7,0.3528181074503513,0.4761239341915191,0.7466902443103515,0.8117729061149015,0.7079041671220347,0.7145849388397554,0.9688422703691921,0.537623418557095,0.02301311781091339,0.3885391651844264,0.43156933919997653,0.21911050997176323,0.03843966298123122
8,0.3856712933802837,0.5692423939067386,0.8902786295893699,0.8345961293424145,0.7645726540475102,0.8665094593875331,0.8599769922400692,0.5615676538711433,0.1559456461192583,0.944381658425971,0.3641312334157437,0.2840709927234914,0.03843052913542572
9,0.33846617074994795,0.44576866153792244,0.7012235277928436,0.7863532501942414,0.7635784432853936,0.2455055599117582,0.851031193665861,0.44523142574651764,0.2561718220307661,0.752464023830196,0.5414748423093713,0.17988597775429926,0.03843327620455045
10,0.35589788453303817,0.4904069426201364,0.769541384500483,0.872208413040703,0.8376416883817318,0.3144063199212002,0.8873139947891717,0.5574254471739429,0.18812884548221354,0.7260386212898486,0.5489005574992225,0.05157140898353424,0.038420483551633425
11,0.3825095484869797,0.5607781360338409,0.8769251297720295,0.8954327264878713,0.7773642517160471,0.4302756151718711,0.8727428350788571,0.41442440888886267,0.2467526535845982,0.35968238653048057,0.370148480446873,0.20230217680340348,0.0384482713270911
12,0.3265029178106392,0.41053421534083506,0.6470621204159204,0.921525528397948,0.8832668739974534,0.5975646630170657,0.8213753513686953,0.4423372505434662,0.2949279464467128,0.6795580658659757,0.4010592359431962,0.0695574862077519,0.038474569770344226
