,t,y,u,e,s
0,0.0,1.530163,0.3,0.0,1.530163
1,0.01,1.5301626972254752,0.3,0.0,1.530163
2,0.02,1.530163667185443,0.299917695781641,3.0277452478522093e-07,1.530163
3,0.03,1.5301646160672175,0.29991772046579673,-6.671854431150592e-07,1.530163
4,0.04,1.5301655427922662,0.2999178455481648,-1.6160672176024349e-06,1.530163
5,0.05,1.5301664451020254,0.2999181493641413,-2.542792266302385e-06,1.530163
6,0.060000000000000005,1.5301673196832983,0.2999187037998181,-3.4451020254344655e-06,1.530163
7,0.07,1.5301681623065646,0.299919573270611,-4.319683298392718e-06,1.530163
8,0.08,1.5301689679814274,0.29992081340647664,-5.162306564665542e-06,1.530163
9,0.09,1.5301697311313736,0.2999224695704349,-5.967981427490443e-06,1.530163
10,0.09999999999999999,1.530170445787833,0.29992457535018546,-6.73113137361625e-06,1.530163
11,0.10999999999999999,1.530171105801229,0.29992715117186663,-7.445787832960349e-06,1.530163
12,0.11999999999999998,1.5301717050644446,0.29993020318676267,-8.10580122911908e-06,1.530163
13,0.12999999999999998,1.5301722377420441,0.29993372257301715,-8.705064444614052e-06,1.530163
14,0.13999999999999999,1.5301726984968924,0.2999376853732536,-9.237742044199138e-06,1.530163
15,0.15,1.5301730827046438,0.2999420529551346,-9.69849689247404e-06,1.530163
16,0.16,1.5301733866461544,0.2999467731368577,-1.0082704643865625e-05,1.530163
17,0.17,1.5301736076682528,0.29995178196685374,-1.038664615449214e-05,1.530163
18,0.18000000000000002,1.530173744304528,0.29995700609156845,-1.0607668252893276e-05,1.530163
19,0.19000000000000003,1.53017379634981,0.2999623655931672,-1.0744304528076398e-05,1.530163
20,0.20000000000000004,1.5301737648846139,0.29996777713641026,-1.0796349810160422e-05,1.530163
21,0.21000000000000005,1.530173682859216,0.299971165824442,-1.07648846139341e-05,1.530163
22,0.22000000000000006,1.5301736018379453,0.2999712729758255,-1.0682859216126772e-05,1.530163
23,0.23000000000000007,1.5301735220499582,0.29997136361344084,-1.0601837945323211e-05,1.530163
24,0.24000000000000007,1.5301734434685006,0.2999714540544966,-1.0522049958217039e-05,1.530163
25,0.25000000000000006,1.530173366066377,0.299971544366787,-1.0443468500653807e-05,1.530163
26,0.26000000000000006,1.5301732898171982,0.29997163453758385,-1.0366066377054395e-05,1.530163
27,0.2700000000000001,1.530173214695358,0.2999717245545584,-1.0289817198305684e-05,1.530163
28,0.2800000000000001,1.5301731406760022,0.29997181440614346,-1.021469535800179e-05,1.530163
29,0.2900000000000001,1.5301730677350045,0.2999719040814046,-1.0140676002245996e-05,1.530163
30,0.3000000000000001,1.530172995848937,0.29997199357015925,-1.0067735004559708e-05,1.530163
31,0.3100000000000001,1.5301729249950469,0.2999720828627804,-9.99584893701666e-06,1.530163
32,0.3200000000000001,1.5301728551512312,0.29997217195028353,-9.924995046928231e-06,1.530163
33,0.3300000000000001,1.530172786296015,0.2999722608242051,-9.855151231308312e-06,1.530163
34,0.34000000000000014,1.5301727184085274,0.2999723494766575,-9.786296015112939e-06,1.530163
35,0.35000000000000014,1.530172651468483,0.29997243790019623,-9.718408527481515e-06,1.530163
36,0.36000000000000015,1.5301725854561579,0.29997252608795477,-9.651468483085068e-06,1.530163
37,0.37000000000000016,1.530172520352374,0.29997261403337067,-9.585456157923389e-06,1.530163
38,0.38000000000000017,1.5301724561384786,0.2999727017304253,-9.520352374003949e-06,1.530163
39,0.3900000000000002,1.530172392796325,0.2999727891734949,-9.456138478691756e-06,1.530163
40,0.4000000000000002,1.53017233030826,0.2999728763572239,-9.392796325169428e-06,1.530163
41,0.4100000000000002,1.530172268657101,0.2999729632768069,-9.330308260002695e-06,1.530163
42,0.4200000000000002,1.5301722078261257,0.29997304992761864,-9.268657101157984e-06,1.530163
43,0.4300000000000002,1.5301721477990538,0.29997313630542527,-9.207826125789964e-06,1.530163
44,0.4400000000000002,1.5301720885600343,0.299973222406288,-9.147799053810246e-06,1.530163
45,0.45000000000000023,1.5301720300936288,0.2999733082266136,-9.088560034342663e-06,1.530163
46,0.46000000000000024,1.5301719723848022,0.29997339376295634,-9.03009362884788e-06,1.530163
47,0.47000000000000025,1.5301719154189048,0.29997347901229554,-8.972384802241606e-06,1.530163
48,0.48000000000000026,1.5301718591816647,0.2999735639717008,-8.91541890490899e-06,1.530163
49,0.49000000000000027,1.530171803659172,0.29997364863860215,-8.859181664711002e-06,1.530163
50,0.5000000000000002,1.5301717488378692,0.29997373301059316,-8.803659172107459e-06,1.530163
51,0.5100000000000002,1.53017169470454,0.2999738170854588,-8.748837869276826e-06,1.530163
52,0.5200000000000002,1.5301716412462985,0.2999739008612338,-8.69470454012422e-06,1.530163
53,0.5300000000000002,1.530171588450578,0.29997398433612216,-8.641246298513039e-06,1.530163
54,0.5400000000000003,1.5301715363051227,0.29997406750848954,-8.58845057805091e-06,1.530163
55,0.5500000000000003,1.5301714847979775,0.2999741503768898,-8.536305122763821e-06,1.530163
