iter,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,Fobj
1,0.004289911670407821,0.014713865232370624,0.8906991189574461,0.909791629140499,0.7702943505497752,0.14548793507603558,0.7799644045871232,0.5657039600483067,0.2829870140191279,0.5030703074076698,0.31344233949152867,0.48128368721090775,0.0010028893252033283
2,0.004112246148975219,0.014502854519070957,0.8606263347060896,0.713517090858975,0.7248569982294498,0.00012892231937121357,0.8110845865484548,0.6077373421108915,0.1538981880639154,0.2878103832808911,0.17500132894604942,0.46782576308973794,0.0009911014134065266
3,0.004268646012246797,0.014678922795066048,0.8886333547527374,0.7725071625033991,0.9035146853020808,0.12552380303734462,0.791339095575127,0.5432300041565628,0.06949382012869057,0.10315428366597962,0.08519088395969789,0.35895383969382083,0.0009933645139268768
4,0.004281882938879244,0.014689047161908074,0.8913155799883536,0.7933464729549571,0.7426098655414528,0.15402479061078042,0.7046335262590842,0.5790738827727913,0.21227590980046057,0.0413267759905675,0.18588345653463734,0.5380114653181876,0.0009953304895522939
5,0.0035023122684924315,0.012606858657641959,0.9639959622866172,0.9385986606453811,0.8810739141697871,0.30334402149600637,0.8580892162010771,0.34321815552736734,0.3096253049567792,0.19873709872168954,0.3679345193695115,0.3065984858266759,0.0009880018063407152
6,0.0035633015962955104,0.012801796626859686,0.9646489079575873,0.7692212779488526,0.9397232184561914,0.044913774372332495,0.7902692110744379,0.4945890620840807,0.2985646866350241,0.18943920783253854,0.5858864902812888,0.3093939102963422,0.0009850188289958956
7,0.0035497125201116716,0.012739621475527159,0.9746754149689715,0.976672645807146,0.984051241229252,0.1785285996020746,0.7364276417298194,0.4519417921891348,0.07677904183848087,0.3240671339076983,0.568081215940373,0.18783903769148574,0.0009726004596700064
8,0.0034779584508050935,0.012505060267482345,0.9621849270834011,0.9595472704044529,0.7661528203005628,0.23599939115016516,0.7469137256766171,0.48685616360837214,0.10215381276019718,0.3075534271242333,0.3666100205552789,0.33009132308480943,0.0009913060221097602
9,0.003502598959766137,0.012632213156845751,0.9645330529134531,0.6966181884234037,0.8517256286146305,0.14100375949741617,0.854736083567474,0.42574740671521855,0.04847652179437699,0.14854538869286174,0.34243226816081374,0.3157428375661054,0.000991044027119659
10,0.00453001920483691,0.014779831754053972,0.948209767041254,0.7930444457015298,0.8233761193051978,0.2215123018011173,0.8349952438968103,0.5122103789741979,0.055738340922503724,0.20302954427782385,0.08455202271312687,0.5293199000873027,0.0009833118267334393
11,0.004541229527619039,0.01485731618830766,0.9441695450121272,0.8430187517157997,0.8715252059293377,0.12259928449928982,0.766413200110494,0.35665989868460474,0.24095362029809625,0.25014109614283503,0.1070294909702925,0.5083967306884114,0.0009952246843011078
12,0.004559432840923264,0.014787846853577043,0.953990082640453,0.8304602797285634,0.8952349269708617,0.09604460804529445,0.6773330759374951,0.49252145756405274,0.17022285510118274,0.1841068466186887,0.13762649900949747,0.5577843630382346,0.001010375555653074
13,0.0035720135090310484,0.012676554928557408,0.992499335307911,0.8197897065599429,0.8591284111803186,0.2100925460467625,0.7857718653541063,0.5581996845237148,0.11974674371413088,0.2430161054001691,0.3886703135519164,0.28085395891127485,0.000987297438716157
14,0.004442735189461356,0.014798415854372655,0.9242949246812227,0.8760940125591676,0.8642735366068948,0.01907735861677156,0.7783049621301132,0.5805699806518363,0.15555610597084535,0.20959879438738685,0.08266874825743326,0.4692399613340573,0.0009900006292609491
15,0.004029033219226741,0.014352760408973623,0.8481699775313928,0.9102593896907973,0.9490693850035931,0.10732786316693221,0.8403928507655184,0.49750794809044613,0.15834160284175935,0.10568499834989795,0.026747866573489237,0.4424437170417062,0.000990644798496032
16,0.00452711785583491,0.014791276187214673,0.9465509627526414,0.7984816585726988,0.8428064627383205,0.15918838537587632,0.7478636774765708,0.5049089025006126,0.14875019767808725,0.7554318626281322,0.2779533859518302,0.5703818595322192,0.0009814012562397768
17,0.004459665071067761,0.014778889770141187,0.931332133973228,0.7509949017540671,0.9209663419035776,0.18608626124571898,0.7389505570774206,0.3533024615117009,0.08941556937292282,0.9935814485935703,0.07525447835233108,0.4156070708547919,0.0009930409289402556
18,0.004466257023834845,0.014802865378582433,0.9301778360635864,0.92159103873419,0.8069388403045556,0.16110360089875467,0.8465739791136889,0.42577637368121324,0.262104950045571,0.12896966513938563,0.14710310755544348,0.5989783693942331,0.000981916966529505
19,0.00450346410741195,0.014781805292301416,0.9408374619136726,0.8412387380389368,0.9182158044963771,0.062032908282048674,0.9504418521598557,0.6310721767567333,0.03212514306924061,0.47315453204694147,0.1894979290432863,0.4252343291549158,0.000997653603594516
20,0.004229657823287119,0.014648769952275122,0.8811506186957276,0.9868866649504127,0.8018718243961909,0.08227052137763385,0.8016460194970314,0.3577335338190275,0.29841001299062003,0.8265361057462313,0.13050028498677002,0.3754028005059713,0.0009844498498740894
21,0.004582329257807083,0.014890195791047759,0.9510104795986553,0.8454438773859458,0.7774678161028601,0.15568822690086329,0.8519539534735974,0.5089854783126122,0.2008437149590354,0.40210385798735754,0.15396768228959046,0.47034773274117736,0.001013435250693258
22,0.004393643677141745,0.014787409441297021,0.9124434129893046,0.9264718070254081,0.7997955551071393,0.173446945698322,0.8641602426757635,0.5823285310500076,0.2244403002331395,0.8665155719416316,0.20759294071744339,0.49949011926843834,0.000992654335506239
23,0.003624491265275898,0.01278753777223902,0.9818744608892218,0.9529397832241074,0.8036543042133445,0.029237001497968776,0.826701330460069,0.33506393881666025,0.22379777239160964,0.25813615971521786,0.48652170277502804,0.32771673365698856,0.0009741328451343365
24,0.0035207946342859044,0.012668846076912616,0.970163633209489,0.9039902729592341,0.7533169205357333,0.3291516827575995,0.9363028650600309,0.47617180294470624,0.19271427185323092,0.198766782743317,0.44614609981453646,0.13689423312857602,0.0009722536775766008
25,0.0041529090734407255,0.014557871786103644,0.867743639433574,0.8322186000316341,0.736724316585512,0.2030288995070536,0.6883716762495247,0.35811985169176197,0.2049565003920108,0.35023789898522817,0.1961628262694935,0.5786727912392893,0.0009869471951680989
26,0.0035440161081616676,0.012718641595366193,0.9772379995833793,0.7137342189674337,0.9031843178370896,0.2271550935272587,0.7383014956142897,0.6651897999556833,0.3094454911809402,0.2636827962809687,0.49398524307814207,0.1339680655414483,0.0009909669118984335
27,0.004133219396604451,0.014532657916355229,0.8649494497932559,0.9055070747772056,0.8253557066103062,0.24201671543369524,0.8074960240896849,0.35689018061176137,0.26966034132079886,0.3476260595999203,0.1215260997131638,0.5953887326828049,0.0009848958342585823
28,0.004110141156706484,0.014488691288842781,0.8607929191328926,0.7979303484095677,0.7503176426462004,0.25382992498866663,0.8706042356764986,0.6228344762449127,0.1564160134457153,0.07696281387503476,0.1105177770492923,0.5469711469754392,0.0009960881847158117
29,0.00401771051268943,0.01427074628654569,0.8446352620066262,0.8177922995286151,0.9469496993456914,0.2370659779283353,0.9429633847817745,0.5921351753208801,0.19620325460775115,0.8757829162461536,0.18643949424290773,0.45988232852921296,0.001007333550103578
30,0.004553495766872005,0.014838325466307605,0.9492649285543526,0.7866064737743372,0.7351864925618782,0.118586995095388,0.8925331595657329,0.5679619902292649,0.2065689721570294,0.9385429128222879,0.11839232439685915,0.4997175680650713,0.000986452093688006
31,0.004461853424589199,0.01477986334204161,0.9299762131089683,0.6748909853477288,0.9822140440106162,0.08027957650639755,0.9275156221637408,0.5751382563749388,0.32585111400278166,0.2508598470224936,0.2151175259598492,0.41851315327907324,0.0010068708746637225
32,0.0046227325229309885,0.014549372489616009,0.9886186398057036,0.7859927380056884,0.8440661833944527,0.16996192047108347,0.7230578124841719,0.4680555955598752,0.08356133989653558,0.7165904418406167,0.2718021891305859,0.38156432867684015,0.001028863099204774
33,0.004086464119514206,0.014465193327367124,0.856913090024809,0.9217739439851514,0.8066745708807835,0.26585941989870093,0.9218787410346834,0.34287488434876334,0.26279764913656983,0.9552652470023714,0.14899640276193132,0.5108445650310884,0.0009848628789944642
34,0.004053743964516973,0.01440380893714783,0.8519604462850598,0.9340888587828009,0.9587206732725457,0.17604315354368752,0.9833532171803387,0.41516228169853475,0.18482224315125348,0.7352681502198902,0.21910560731798842,0.4472086549406086,0.0009897577658886248
35,0.0040167977932585135,0.01432776288284909,0.8463574959199264,0.889985600862264,0.7364657250095531,0.02421382717169332,0.9958317781853823,0.40605207972228136,0.09862403381903519,0.0754486379781862,0.1514108013465753,0.5289395053421817,0.0009893055397286854
36,0.003684462072414907,0.013063041485347796,0.953114540133696,0.7332495544131326,0.8164700854565827,0.10090572185700983,0.8390401696350662,0.5029301124832462,0.3192535764997476,0.33279481231624064,0.3741010067442665,0.16990799310594978,0.001020988258551731
37,0.004452148486105574,0.01480447530328581,0.9265896962094837,0.8095742402831874,0.8068430943958431,0.13316034028996737,0.9469434832452515,0.6412318764701666,0.062468219825901596,0.6706938347560953,0.1940546084956074,0.6426271717530004,0.000977094571039575
38,0.00408271480047135,0.014455743654067738,0.8566105230208616,0.7797946940612133,0.846494267944778,0.30296578824342657,0.7565799319471885,0.6032343457737328,0.195712823321956,0.3814726007689589,0.20889237369716068,0.3862788860613775,0.0009880635859903706
39,0.004327452996024858,0.014763481956839825,0.8960012411757328,0.9239288168139124,0.7275433709197954,0.08296347518217888,0.7462353323111468,0.4823889870929196,0.12761494775750168,0.3046593329585771,0.15299933043518743,0.43934059782872875,0.001008999001175009
